neighborhood,tip %
Colgate Center,0.315621359
Lincoln Harbor,0.301886646
Park Slope,0.215963452
Bushwick,0.214315877
South Slope,0.212732927
Greenpoint,0.212590772
East Elmhurst,0.212453561
North Beach,0.211587645
Gowanus,0.211263457
Wyckoff Gardens,0.210577262
Adelphi,0.209324634
Marcy Houses,0.208245321
Prospect Heights,0.207848181
Diamond District,0.20777092
Columbia Street Waterfront District,0.207219523
Koreatown,0.206925572
Cobble Hill,0.20628775
Williamsburg,0.206250285
Gowanus Houses,0.205942426
Clinton,0.205849888
Steinway,0.205240409
Murray Hill,0.205153647
San Juan Hill,0.204590502
Chelsea,0.203399539
Clinton Hill,0.20335182
Tudor City,0.203345215
Flatiron,0.20321767
Cobble Hill Historic District,0.202610687
Washington Square Village,0.202188622
Rose Hill,0.201676071
Greenwich Village,0.201332931
Fort Greene,0.201215768
Long Island City,0.201002386
SoHo,0.200821324
University Village,0.200807076
NoHo,0.200705879
Upper West Side,0.20029844
East Village,0.200057528
Lincoln Towers,0.199946597
Hell's Kitchen,0.199663159
Fulton Houses,0.199347746
Upper East Side,0.198059381
Midtown West,0.197813849
Brooklyn Heights,0.197641516
Little Italy,0.197426241
Loisaida,0.196971172
Stuyvesant Town,0.19640652
Tribeca,0.196273396
DUMBO,0.196188814
Kips Bay,0.195673858
Park West Village,0.19555706
Yorkville,0.195212031
Lower East Side,0.19511358
Washington Heights,0.194865822
Boerum Hill,0.194831407
Chinatown,0.194243071
Astoria,0.19410895
Sunnyside Gardens,0.193489996
Jackson Heights,0.193308964
Alphabet City,0.192936058
Battery Park City,0.192747234
Morningside Heights,0.191968782
Downtown Brooklyn,0.191590799
Waterside Plaza,0.191404469
South Street Seaport,0.189686425
Manhattanville,0.189271041
Southbridge Towers,0.18888549
Cedar Manor Houses,0.18885583
Broad Channel,0.186178997
Woodside,0.186057908
Harlem,0.18574926
Sunnyside,0.183753585
Rochdale Village,0.183450329
East Harlem,0.18335925
Hamilton Heights,0.181131767
